Primary_Organization,Participant_Name,Subordinate_Organization,Type,Sub_Type,Participant_ID,Request_for_Information,Information_Delivery,Requests_for_Notification_of_ADT_Events,City,County_Name,Geo_Point
County of San Luis Obispo Health Agency,County of San Luis Obispo Health Agency,County of San Luis Obispo Behavioral Health Department - Mental Health Psychiatric Ward,Acute Care Settings,not selected,DXF000207,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Luis Obispo,San Luis Obispo,"35.24175, -120.61711"
County of San Luis Obispo Health Agency,County of San Luis Obispo Health Agency,County of San Luis Obispo Behavioral Health Department - Drug and Alcohol Clinic,Ambulatory Care Settings,not selected,DXF000207,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Luis Obispo,San Luis Obispo,"35.24175, -120.61711"
County of San Luis Obispo Health Agency,County of San Luis Obispo Health Agency,County of San Luis Obispo Public Health Department - Public Health Lab,Ancillary Care,not selected,DXF000207,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Luis Obispo,San Luis Obispo,"35.24175, -120.61711"
County of San Luis Obispo Health Agency,County of San Luis Obispo Health Agency,County of San Luis Obispo Public Health Department- Public Health Clinic,Ambulatory Care Settings,not selected,DXF000207,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Luis Obispo,San Luis Obispo,"35.24175, -120.61711"
County of San Luis Obispo Health Agency,County of San Luis Obispo Health Agency,County of San Luis Obispo Behavioral Health Department - Mental Health Clinic,Ambulatory Care Settings,not selected,DXF000207,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Luis Obispo,San Luis Obispo,"35.24175, -120.61711"
"Purisima Family Medicine, Inc.","Purisima Family Medicine, Inc.",none identified,Ambulatory Care Settings,Physician practice,DXF000208,NONE SELECTED,NONE SELECTED,NONE SELECTED,Half Moon Bay,San Mateo,"37.46472, -122.41624"
"A. Elaine Ashby, MD, Inc.","A. Elaine Ashby, MD, Inc.",none identified,Ambulatory Care Settings,not selected,DXF000209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lafayette,Contra Costa,"37.89743, -122.1166"
"Michelle Liske MD, INC","Michelle Liske MD, INC",none identified,Ambulatory Care Settings,Physician practice,DXF000211,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.82461, -117.19954"
Los Angeles Kidney Center,Los Angeles Kidney Center,none identified,not selected,not selected,DXF000213,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.06568, -118.43502"
Doctor,Doctor,none identified,not selected,not selected,DXF000214,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.93434, -117.36737"
Coast Psychiatric associates,Coast Psychiatric associates,none identified,Acute Care Settings,Other acute care setting,DXF000220,NONE SELECTED,NONE SELECTED,NONE SELECTED,Long Beach,Los Angeles,"33.78185, -118.14863"
George Yu,George Yu,none identified,Ambulatory Care Settings,not selected,DXF000222,NONE SELECTED,NONE SELECTED,NONE SELECTED,Camarillo,Ventura,"34.22983, -119.07464"
Desert Regional Medical Center,Desert Regional Medical Center,none identified,Acute Care Settings,not selected,DXF000226,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,Palm Springs,Riverside,"33.86055, -116.56152"
Hi Desert Medical Center,Hi Desert Medical Center,none identified,Acute Care Settings,General acute care hospital,DXF000227,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,Joshua Tree,San Bernardino,"34.16837, -116.2884"
JFK Memorial Hospital,JFK Memorial Hospital,none identified,Acute Care Settings,General acute care hospital,DXF000228,CommonWell Health Alliance,CommonWell Health Alliance,Manifest MedEx,Indio,Riverside,"33.69743, -116.10328"
Western Health Advantage,Western Health Advantage,none identified,Plans,Other plan,DXF000229,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.62583, -121.32829"
Afrouz Gerayli MD INC,Afrouz Gerayli MD INC,none identified,Ambulatory Care Settings,not selected,DXF000230,NONE SELECTED,NONE SELECTED,NONE SELECTED,Camarillo,Ventura,"34.22983, -119.07464"
Mario I Brakin,Mario I Brakin,none identified,Ambulatory Care Settings,not selected,DXF000235,NONE SELECTED,NONE SELECTED,NONE SELECTED,Long Beach,Los Angeles,"33.79581, -118.11626"
Bothyna Sedrak,Bothyna Sedrak,none identified,Ambulatory Care Settings,not selected,DXF000236,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lakewood,Los Angeles,"33.84901, -118.14672"
Self,Self,none identified,Ambulatory Care Settings,Physician practice,DXF000237,NONE SELECTED,NONE SELECTED,NONE SELECTED,Castro Valley,Alameda,"37.71498, -122.08002"
Premier Ob Gyn Napa Inc,Premier Ob Gyn Napa Inc,none identified,Ambulatory Care Settings,not selected,DXF000238,NONE SELECTED,NONE SELECTED,NONE SELECTED,Napa,Napa,"38.4549, -122.25643"
BALDEV RAI MD,BALDEV RAI MD,none identified,Ambulatory Care Settings,not selected,DXF000240,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.93325, -117.49435"
Sheila N Borges,Sheila N Borges,none identified,Ambulatory Care Settings,not selected,DXF000242,NONE SELECTED,NONE SELECTED,NONE SELECTED,Modesto,Stanislaus,"37.67283, -120.947"
"SALINAS VALLEY PLASTIC SURGERY ASSOCIATES, A MEDICAL CORPORATION","SALINAS VALLEY PLASTIC SURGERY ASSOCIATES, A MEDICAL CORPORATION",none identified,Ambulatory Care Settings,Physician practice,DXF000244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Salinas,,
"GenesisCare USA of California, A Medical Corporation","GenesisCare USA of California, A Medical Corporation",none identified,Ambulatory Care Settings,Physician practice,DXF000250,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fort Myers,Lee,"26.56431, -81.87137"
Jayme Harris,Jayme Harris,Rolando A. Atiga M.D A Professional Corp,Ambulatory Care Settings,not selected,DXF000251,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sun City,Riverside,"33.70901, -117.19889"
Brij Gupta MD Inc,Brij Gupta MD Inc,none identified,not selected,not selected,DXF000253,NONE SELECTED,NONE SELECTED,NONE SELECTED,La Jolla,San Diego,"32.85505, -117.25012"
Plumas County Behavioral Health,Plumas County Behavioral Health,none identified,not selected,not selected,DXF000255,NONE SELECTED,NONE SELECTED,NONE SELECTED,Quincy,Plumas,"39.93721, -120.90026"
Henry Lin Inc,Henry Lin Inc,none identified,Ambulatory Care Settings,not selected,DXF000258,NONE SELECTED,NONE SELECTED,NONE SELECTED,Rancho Cucamonga,San Bernardino,"34.17054, -117.51815"
ACC Care Center,ACC Care Center,none identified,Subacute Care Facility,not selected,DXF000260,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.49593, -121.52936"
"East Bay Neurosurgery and Spine, Inc","East Bay Neurosurgery and Spine, Inc",none identified,Ambulatory Care Settings,not selected,DXF000262,NONE SELECTED,NONE SELECTED,NONE SELECTED,Berkeley,Alameda,"37.86522, -122.23818"
Neighborhood Healthcare,Neighborhood Healthcare,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF000264,San Diego Health Connect,San Diego Health Connect,San Diego Health Connect,Escondido,San Diego,"33.0853, -117.0294"
George Keith Llewellyn MD Inc,George Keith Llewellyn MD Inc,none identified,Ambulatory Care Settings,not selected,DXF000265,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Barbara,Santa Barbara,"34.41898, -119.70923"
The Coalition of Orange County Community Health Centers - Orange County Partners in Health-Health Information Exchange,The Coalition of Orange County Community Health Centers - Orange County Partners in Health-Health Information Exchange,none identified,Community-Based Organizations,Other community-based service provider,DXF000266,Carequality,Carequality,SELF,Santa Ana,Orange,"33.74819, -117.85844"
Danville San Ramon Eye Medical Corp,Danville San Ramon Eye Medical Corp,none identified,Ambulatory Care Settings,not selected,DXF000267,NONE SELECTED,NONE SELECTED,NONE SELECTED,Danville,Contra Costa,"37.81443, -121.99152"
Kenneth Stevens MD,Kenneth Stevens MD,none identified,not selected,not selected,DXF000268,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Luis Obispo,San Luis Obispo,"35.24175, -120.61711"
Stephen A Hilty,Stephen A Hilty,none identified,not selected,not selected,DXF000269,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Luis Obispo,San Luis Obispo,"35.29784, -120.72718"
"Edmund Fisher, MD, Inc.","Edmund Fisher, MD, Inc.",none identified,not selected,not selected,DXF000271,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.3436, -119.06633"
John M. Sawyer,John M. Sawyer,none identified,Ambulatory Care Settings,not selected,DXF000272,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lompoc,Santa Barbara,"34.60558, -120.39708"
"Millennium Health, LLC","Millennium Health, LLC",none identified,Ancillary Care,not selected,DXF000273,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"33.0198, -117.12385"
Riverside Family Physicians,Riverside Family Physicians,none identified,Ambulatory Care Settings,Physician practice,DXF000274,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.93434, -117.36737"
Robert A. Kolarczyk MD,Robert A. Kolarczyk MD,none identified,not selected,not selected,DXF000275,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Barbara,Santa Barbara,"34.41898, -119.70923"
Haider Spine Center Medical Group,Haider Spine Center Medical Group,none identified,Ambulatory Care Settings,not selected,DXF000278,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.97099, -117.32489"
william radentz,william radentz,none identified,Ambulatory Care Settings,not selected,DXF000279,NONE SELECTED,NONE SELECTED,NONE SELECTED,Murrieta,Riverside,"33.57996, -117.14579"
Med Stop Urgent Care Center,Med Stop Urgent Care Center,none identified,Ambulatory Care Settings,not selected,DXF000280,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Luis Obispo,San Luis Obispo,"35.29784, -120.72718"
San Joaquin Health Centers,San Joaquin Health Centers,none identified,Ambulatory Care Settings,Health center program look-alikes,DXF000281,NONE SELECTED,NONE SELECTED,NONE SELECTED,Stockton,San Joaquin,"38.04199, -121.48581"
Vista Family Health Center,Vista Family Health Center,none identified,Ambulatory Care Settings,Physician practice,DXF000284,San Diego Health Connect,San Diego Health Connect,San Diego Health Connect,vista,San Diego,"33.19787, -117.24825"
Anita Carmen Choy,Anita Carmen Choy,none identified,Ambulatory Care Settings,not selected,DXF000286,NONE SELECTED,NONE SELECTED,NONE SELECTED,Palo Alto,Santa Clara,"37.38187, -122.17392"
Gold Coast Health Plan,Gold Coast Health Plan,none identified,not selected,not selected,DXF000290,Manifest MedEx,Manifest MedEx,Manifest MedEx,Camarillo,Ventura,"34.22983, -119.07464"
Pediatric Medical Group of Watsonville,Pediatric Medical Group of Watsonville,none identified,Ambulatory Care Settings,Physician practice,DXF000291,NONE SELECTED,NONE SELECTED,NONE SELECTED,Freedom,Santa Cruz,"36.9355, -121.7832"
Vanessa Zamora,Vanessa Zamora,none identified,Ambulatory Care Settings,not selected,DXF000292,NONE SELECTED,NONE SELECTED,NONE SELECTED,Escondido,San Diego,"33.0853, -117.0294"
"SHARON LAUGHLIN, M.D.","SHARON LAUGHLIN, M.D.",none identified,not selected,not selected,DXF000293,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.88162, -117.44479"
Eric Hansen Family Practice,Eric Hansen Family Practice,Eric R Hansen DO Prof Corp,Ambulatory Care Settings,not selected,DXF000294,NONE SELECTED,NONE SELECTED,NONE SELECTED,Hesperia,San Bernardino,"34.38212, -117.30939"
Livingstone Community Health Clinic,Livingstone Community Health Clinic,none identified,Ambulatory Care Settings,not selected,DXF000296,Orange County Partners in Health HIE,Orange County Partners in Health HIE,Orange County Partners in Health HIE,Stanton,Orange,"33.80118, -117.99495"
solo practice,solo practice,none identified,not selected,not selected,DXF000297,NONE SELECTED,NONE SELECTED,NONE SELECTED,Walnut Creek,Contra Costa,"37.91827, -122.07155"
Chapa-De Indian Health,Chapa-De Indian Health,none identified,not selected,not selected,DXF000298,NONE SELECTED,NONE SELECTED,NONE SELECTED,Auburn,Placer,"38.917, -121.08045"
"Dr. Mark S. Cramer, MD, FAAFP","Dr. Mark S. Cramer, MD, FAAFP",none identified,Ambulatory Care Settings,not selected,DXF000300,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.85926, -117.17007"
Vituity,Vituity,"CEP America - Anesthesia, PC",Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,"California Emergency Physicians Medical Group, A Professional Corporation",Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,"Menalam Health Services, PC",Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,"CEP America-Psychiatry, PC",Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,"Vituity - Urgent Care Services, PC",Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,"Galen Inpatient Physicians, PC",Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,California Emergency Physicians,Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,Vituity-California Observation Services PC,Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,"CEP America - AUC, PC",Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,"Vituity Hospitalists, PC",Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,"CEP America - Intensivists , PC",Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,"Vituity - Primary Care Glendale, PC",Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,none identified,Acute Care Settings,General acute care hospital,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Palm Springs,Riverside,"33.86055, -116.56152"
Vituity,Vituity,"MedAmerica Physician Solutions, PC",Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,CEP America-California,Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
Vituity,Vituity,"CEP America- Neurology, PC",Ambulatory Care Settings,not selected,DXF000303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Emeryville,Alameda,"37.83614, -122.28623"
"Daniel Franco M.D., Inc.","Daniel Franco M.D., Inc.","Daniel Franco M.D., Inc.",Ambulatory Care Settings,Physician practice,DXF000304,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redlands,San Bernardino,"34.00495, -117.15067"
Mary Regina Pham DDS MS Dental Corporation,Mary Regina Pham DDS MS Dental Corporation,Mary Pham Ikeda Dental Corporation,not selected,not selected,DXF000307,NONE SELECTED,NONE SELECTED,NONE SELECTED,Tustin,Orange,"33.73402, -117.81916"
Mary Regina Pham DDS MS Dental Corporation,Mary Regina Pham DDS MS Dental Corporation,Mary Pham Ikeda DDS MS Inc,not selected,not selected,DXF000307,NONE SELECTED,NONE SELECTED,NONE SELECTED,Tustin,Orange,"33.73402, -117.81916"
Mary Regina Pham DDS MS Dental Corporation,Mary Regina Pham DDS MS Dental Corporation,Mary R Pham DDS Inc,not selected,not selected,DXF000307,NONE SELECTED,NONE SELECTED,NONE SELECTED,Tustin,Orange,"33.73402, -117.81916"
Mary Regina Pham DDS MS Dental Corporation,Mary Regina Pham DDS MS Dental Corporation,Mary Pham DDS Dental Corporation,not selected,not selected,DXF000307,NONE SELECTED,NONE SELECTED,NONE SELECTED,Tustin,Orange,"33.73402, -117.81916"
Mary Regina Pham DDS MS Dental Corporation,Mary Regina Pham DDS MS Dental Corporation,Mary R Pham DDS Dental Corporation,not selected,not selected,DXF000307,NONE SELECTED,NONE SELECTED,NONE SELECTED,Tustin,Orange,"33.73402, -117.81916"
Sansum Clinic,Sansum Clinic,none identified,Ambulatory Care Settings,not selected,DXF000313,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Barbara,Santa Barbara,"34.44987, -119.80353"
"Hideki Ikeda D.D.S., M.S., Dental Corporation","Hideki Ikeda D.D.S., M.S., Dental Corporation",none identified,not selected,not selected,DXF000314,NONE SELECTED,NONE SELECTED,NONE SELECTED,Tustin,Orange,"33.73402, -117.81916"
John F Cook Jr MD,John F Cook Jr MD,none identified,Ambulatory Care Settings,not selected,DXF000316,NONE SELECTED,NONE SELECTED,NONE SELECTED,Newport Beach,Orange,"33.63374, -117.87449"
