Primary_Organization,Subordinate_Organization,Type,Sub_Type,City,County,ZIP
Aspen Family Medicine & Geriatrics,none identified,Acute Care Settings,Other acute care setting,Rancho Cucamonga,#N/A,91730
"Aspen Medical Group, Inc.",none identified,Ambulatory Care Settings,Physician practice,Corona,#N/A,92879
ASPEN PEDIATRIC CLINIC INC.,none identified,Ambulatory Care Settings,Physician practice,victorville,#N/A,92395
"Aspire Health Medical Partners of California, P.C.",none identified,Ancillary Care,Other ancillary care provider,Artesia,#N/A,90702-0275
ASPL,none identified,Subacute Care Facility,Other long term care facility,New york,#N/A,10011
Associated OB/GYN Specialists of Santa Barbara,none identified,Ambulatory Care Settings,Physician practice,Santa Barbara,#N/A,93111
Associates In Women's Health Care,none identified,Ambulatory Care Settings,Physician practice,Roseville,#N/A,95661
Athena Eye Care,none identified,Ambulatory Care Settings,Physician practice,MISSION VIEJO,#N/A,92691
ATHENA MEDICAL GROUP,none identified,Community-Based Organizations,Other community-based service provider,Monterey,#N/A,93940
Atherton Baptist Homes,none identified,Subacute Care Facility,Skilled nursing facility,Alhambra,#N/A,91801
Atlas Intensive Care,none identified,Ambulatory Care Settings,Physician practice,San Jose,#N/A,95139
"Attenda Medical Group, Inc",none identified,Community-Based Organizations,Other community-based service provider,Santa Rosa,#N/A,95403
Auburn Medical Group,none identified,Ambulatory Care Settings,Physician practice,Auuburn,#N/A,95602
Auker Eye Institute,none identified,Ambulatory Care Settings,Physician practice,Pleasanton,#N/A,94566
Avala Pediatrics,Avala Pediatrics Roseville,Community-Based Organizations,Other community-based service provider,Roseville,#N/A,95661
Avenal Community Health Center dba Aria Community Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Lemoore,#N/A,93245
Avocado Medical Clinic Professional,none identified,Ancillary Care,Other ancillary care provider,perris,#N/A,92571
AWHC-Mission Palms Healthcare,none identified,Acute Care Settings,Other acute care setting,Westminster,#N/A,92683
Axis Community Health,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Pleasanton,#N/A,94588
Bahman Omrani,none identified,Ambulatory Care Settings,not selected,Sherman Oaks,#N/A,91423
Bakersfield American Indian Health Project,none identified,Community-Based Organizations,Other community-based service provider,Bakersfield,#N/A,93301
Bakersfield Family Medical Group,CCPN,Ambulatory Care Settings,Medical group,San Luis Obispo,#N/A,93401
Bakersfield Heart Hospital,none identified,Acute Care Settings,not selected,Bakersfield,#N/A,93308
"Balboa Nephrology Medical Group, Inc",none identified,Ambulatory Care Settings,Physician practice,La Jolla,#N/A,92037
Balboa Park Internal Medicine,none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92103
BALDEV RAI MD,none identified,Ambulatory Care Settings,not selected,Riverside,#N/A,92505
"Baldev Singh, MD, FCCP, Inc",none identified,Ambulatory Care Settings,Physician practice,Redding,#N/A,96099
Baldwin Family Medicine,none identified,Ambulatory Care Settings,Physician practice,goleta,#N/A,93117
BALDWIN MD INC BENNER MD INC & BENNER MD INC GEN PTR DBA Monterey County Surgical Associates,none identified,Ambulatory Care Settings,Physician practice,Salinas,#N/A,93912-3258
Barbara Hom M.D.,none identified,Ambulatory Care Settings,Physician practice,Los Gatos,#N/A,95032
Barstow Community Hospital,none identified,Acute Care Settings,General acute care hospital,Barstow,#N/A,92311
Barton Healthcare System dba Barton Memorial Hospital,Barton Memorial Hospital Skilled Nursing Facility aka Barton Hospital D/P SNF,Subacute Care Facility,Skilled nursing facility,South Lake Tahoe,#N/A,96158
Bassam G Saffouri MD,none identified,Ambulatory Care Settings,Physician practice,Los Gatos,#N/A,95032-1419
Basso Podiatry Group,none identified,Ambulatory Care Settings,Medical group,Davis,#N/A,95616
Bay Area Center for Reproductive Medicine,none identified,Ambulatory Care Settings,Physician practice,Menlo PArk,#N/A,94025
Bay Area Healthcare Center,none identified,Subacute Care Facility,Skilled nursing facility,Oakland,#N/A,94606-3096
Bay Area Neurocare,none identified,Ambulatory Care Settings,Physician practice,San Jose,#N/A,95124
Bay Area Union Health Center,none identified,Ambulatory Care Settings,Physician practice,Millbrae,#N/A,94030
Bay Family Medical Group,none identified,Ambulatory Care Settings,Medical group,San Mateo,#N/A,94401
"BAYARD W. CHANG, MD, INC.",none identified,Ambulatory Care Settings,Physician practice,Sacramento,#N/A,95825
Bayfront Youth and Family Services,none identified,Community-Based Organizations,Other community-based service provider,Long Beach,#N/A,90807
Baywood Court,none identified,Subacute Care Facility,Skilled nursing facility,Castro Valley,#N/A,94546
"Baz Allergy, Asthma & Sinus Center",none identified,Ambulatory Care Settings,Medical group,Fresno,#N/A,93720
Beach Cities Internal Medicine,none identified,Acute Care Settings,Other acute care setting,Torrance,#N/A,90505
Beachside Nursing Center,none identified,Subacute Care Facility,Skilled nursing facility,Huntington Beach,#N/A,92648
BEACHSIDE POST ACUTE,none identified,Subacute Care Facility,Skilled nursing facility,Long Beach,#N/A,90810
BEAR VALLEY CLINICA MEDICA FAMILIAR,none identified,Ambulatory Care Settings,Physician practice,victorville,#N/A,92395
bear valley community hospital,none identified,Acute Care Settings,not selected,big bear lake,#N/A,92315
"Beaver Medical Group, P.C.",none identified,Ambulatory Care Settings,Medical group,Minnetonka,#N/A,55344
Behavioral Health Services,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Gardena,#N/A,90249
Behavioral Intervention Association,none identified,Ambulatory Care Settings,Medical group,Emeryville,#N/A,94608
Behavioral Support Partnership,none identified,Community-Based Organizations,Other community-based service provider,Dana Point,#N/A,92629
Bella Vista ENT,none identified,Emergency Medical Service Providers,not selected,Thousand Oaks,#N/A,91360
Bella Vista Medical Group IPA,none identified,Ambulatory Care Settings,not selected,Montebello,#N/A,90640
Bellaken Skilled Nursing Center,"Marina Garden Nursing  Center, Inc.",Subacute Care Facility,Skilled nursing facility,Alameda,#N/A,94501
Bellaken Skilled Nursing Center,Bancroft Healthcare Center,Subacute Care Facility,Skilled nursing facility,San Leandro,#N/A,94577
Bellaken Skilled Nursing Center,Berkeley Pines Skilled Nursing Center,Subacute Care Facility,Skilled nursing facility,Berkeley,#N/A,94705
Bellaken Skilled Nursing Center,Pittsburg Skilled Nursing Center,Subacute Care Facility,Skilled nursing facility,Pittsburg,#N/A,94565
BELLFLOWER POST ACUTE,none identified,not selected,not selected,Bellflower,#N/A,90706
Bendito Medical Corporation,none identified,Ambulatory Care Settings,Physician practice,San Bernardino,#N/A,92404
"Bendito Pediatrics, Inc",none identified,Ambulatory Care Settings,Physician practice,Canoga Park,#N/A,91303
BENEJ Pediatrics Inc,none identified,Ancillary Care,Other ancillary care provider,Loma Linda,#N/A,92354
Benevolence Industries Incorporated,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Torrance,#N/A,90501
"Benny J. Guzman, MD Corp",none identified,Ambulatory Care Settings,Physician practice,Chino Hills,#N/A,91709
Bernaldez-Blanche Consulting LLC,EpicWave Laboratory,Ancillary Care,Clinical laboratory,Van Nuys,#N/A,91405
"Bernard A. Michlin, MD",none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92120
Bernous Psychological Services,none identified,Counties,Behavioral health provider,Newport Beach,#N/A,92660
Bethany Home Society of San Joaquin County,none identified,Subacute Care Facility,Skilled nursing facility,Ripon,#N/A,95366
"Bethany Home Society of San Joaquin County, Inc.",none identified,Subacute Care Facility,Skilled nursing facility,Ripon,#N/A,95366
"Bethel Lutheran Home, Inc.",none identified,Subacute Care Facility,Skilled nursing facility,Selma,#N/A,93662
Better Care Inc.,none identified,Subacute Care Facility,Skilled nursing facility,San Jose,#N/A,95125
Beverly Community Hospital Association D/B/A Beverly Hospital,none identified,Acute Care Settings,General acute care hospital,Montebello,#N/A,90640
Beverly Hills Pediatrics,none identified,Community-Based Organizations,Other community-based service provider,Beverly Hills,#N/A,90211
Beverly Radiology Medical Group III,Norcal Imaging Fremont GP (BRMG III),Ancillary Care,Imaging/radiology center,Los Angeles,#N/A,90025
Beverly Radiology Medical Group III,Santa Rosa Imaging Center Medical Group,Ancillary Care,Imaging/radiology center,Los Angeles,#N/A,90025
Beverly Radiology Medical Group III,Radnet Medical Imaging San Francisco,Ancillary Care,Imaging/radiology center,Los Angeles,#N/A,90025
Beverly Radiology Medical Group III,Diagnostic Radiological Imaging Elk Grove,Ancillary Care,Imaging/radiology center,Los Angeles,#N/A,90025
Beverly Radiology Medical Group III,Stockton Diagnostic Imaging,Ancillary Care,Imaging/radiology center,Los Angeles,#N/A,90025
Beverly Radiology Medical Group III,Desert Advanced Imaging Medical Center,Ancillary Care,Imaging/radiology center,Los Angeles,#N/A,90025
Beverly Radiology Medical Group III,San Fernando Valley,Ancillary Care,Imaging/radiology center,Los Angeles,#N/A,90025
Beverly Radiology Medical Group III,Fresno Imaging Center,Ancillary Care,Imaging/radiology center,Los Angeles,#N/A,90025
Beverly Radiology Medical Group III,"Pronet Imaging Medical Group, Inc.",Ancillary Care,Imaging/radiology center,Los Angeles,#N/A,90025
"Beyond Lucid Technologies, Inc.",none identified,not selected,not selected,Danville,#N/A,94506
Big Sur Health Center,none identified,Ambulatory Care Settings,Rural health center (RHC),Big Sur,#N/A,93920
Bingtao Lin MD. PC,none identified,Ambulatory Care Settings,Physician practice,FOLSOM,#N/A,95630-3444
"Biocorp Clinical Lab, INC",none identified,Ancillary Care,Clinical laboratory,Whittier,#N/A,90605
"BioReference Health, LLC",none identified,Ancillary Care,not selected,Elmwood Park,#N/A,07407-3118
Bizmed Health Clinic,Bizmed Health Clinic,Ambulatory Care Settings,Physician practice,Fremont,#N/A,94538
Blasko Medical Consultants,none identified,Emergency Medical Service Providers,not selected,Eastvale,#N/A,91752
"BLC Glenwood Gardens SNF-LH, LLC",none identified,Subacute Care Facility,Skilled nursing facility,Brentwood,#N/A,37027-5057
"BLEHEALTH, LLC",none identified,Ambulatory Care Settings,Other ambulatory care settings,Pomona,#N/A,91766
Blessing Community Health Center,none identified,Community-Based Organizations,Other community-based service provider,San Bernardino,#N/A,92404
Blue Cross of California and Other,Blue Cross of California dba Anthem Blue Cross,Plans,Health care service plans and disability insurer,Woodland Hills,#N/A,91367
Blue Cross of California and Other,"Blue Cross of California Partnership Plan, Inc.",Plans,Health care service plans and disability insurer,Woodland Hills,#N/A,91367
Blue Cross of California and Other,"Beacon Health Options of California, Inc.",Plans,Health care service plans and disability insurer,Boston,#N/A,2109
Blue Cross of California and Other,CareMore Health Plan,Plans,Health care service plans and disability insurer,Cerritos,#N/A,90703
Blue Cross of California and Other,Anthem Blue Cross Life and Health Insurance Company,Plans,Health care service plans and disability insurer,Woodland Hills,#N/A,91367
Blue Shield of California Life & Health Insurance Company,none identified,Plans,Health care service plans and disability insurer,Oakland,#N/A,94607
Blue Shield of California Promise Health Plan,none identified,Plans,Medi-Cal managed care plan not regulated by DMHC or CDI,Monterey Park,#N/A,91755
"BOLD Health Medical Group, A Professional Corporation",none identified,Ambulatory Care Settings,Medical group,Encinitas,#N/A,92024
Bonnie Brae Skilled Nursing,none identified,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90057
Borrego Health,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Borrego Springs,#N/A,92004
Bothyna Sedrak,none identified,Ambulatory Care Settings,not selected,Lakewood,#N/A,90712
Brandy OShea,none identified,Acute Care Settings,Psychiatric hospital,Oak Park,#N/A,91377
Breast Center of Irvine Inc,none identified,Ancillary Care,Imaging/radiology center,Irvine,#N/A,92618
breast imaging specialists,none identified,Ambulatory Care Settings,Physician practice,Los Gatos,#N/A,95032
Breathe Southern California,none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90036
Brent Pennelly,none identified,Acute Care Settings,Other acute care setting,Arroyo Grande,#N/A,93420
"BRIDGET R. BRIGGS, M.D., INC",none identified,Ancillary Care,Other ancillary care provider,Murrieta,#N/A,92562
Bridgeview Post Acute,none identified,Community-Based Organizations,Other community-based service provider,Yuba City,#N/A,95991
BRIGHT PEDIATRICS & ECHOCARDIOGRAPHY,none identified,Ambulatory Care Settings,Physician practice,Visalia,#N/A,93277-5426
Brighton Care Center,none identified,Subacute Care Facility,Skilled nursing facility,Pasadena,#N/A,91103
Brij Gupta MD Inc,none identified,not selected,not selected,La Jolla,#N/A,92037
"Brock Cummings, M.D. Inc",none identified,Ambulatory Care Settings,Physician practice,Chico,#N/A,95926
Brown & Toland Medical Group,Brown & Toland Health Services,Plans,Health care service plans and disability insurer,Oakland,#N/A,94612
Brown & Toland Medical Group,Altais Medical Group - Riverside,Ambulatory Care Settings,Medical group,Oakland,#N/A,94607
Brown & Toland Medical Group,Family Care Specialists IPA,Ambulatory Care Settings,Independent practice associations,Montebello,#N/A,90640
